Symbol,Name
FSE/GFJ_X,Gagfah S.a. (GFJ_X)
FSE/SAZ_X,Stada Arzneimittel Ag (SAZ_X)
FSE/KRN_X,Krones (KRN_X)
FSE/BC8_X,Bechtle (BC8_X)
FSE/DRI_X,Drillisch (DRI_X)
FSE/DTE_X,Deutsche Telekom (DTE_X)
FSE/LPK_X,Lpkf Laser & Electronics (LPK_X)
FSE/ARL_X,Aareal Bank (ARL_X)
FSE/CLS1_X,Celesio (CLS1_X)
FSE/DEQ_X,Deutsche Euroshop (DEQ_X)
FSE/DEX_X,Delticom (DEX_X)
FSE/HAB_X,Hamborner Reit (HAB_X)
FSE/MTX_X,Mtu Aero Engines (MTX_X)
FSE/FNTN_X,Freenet (FNTN_X)
FSE/JUN3_X,Jungheinrich (JUN3_X)
FSE/SZU_X,Südzucker (SZU_X)
FSE/P1Z_X,Patrizia Immobilien (P1Z_X)
FSE/BOSS_X,Hugo Boss (BOSS_X)
FSE/BAF_X,Balda (BAF_X)
FSE/SKYD_X,Sky Deutschland Ag (SKYD_X)
FSE/O1BC_X,Xing (O1BC_X)
FSE/HBH3_X,Hornbach Holding Ag (HBH3_X)
FSE/EOAN_X,E.on Se (EOAN_X)
FSE/AIR_X,Airbus Group (eads N.v.) (AIR_X)
FSE/ADS_X,Adidas (ADS_X)
FSE/FIE_X,Fielmann (FIE_X)
FSE/COK_X,Cancom Se (COK_X)
FSE/BYW6_X,Baywa Vna (BYW6_X)
FSE/DBAN_X,Deutsche Beteiligungs (DBAN_X)
FSE/BAYN_X,Bayer (BAYN_X)
FSE/GSC1_X,Gesco (GSC1_X)
FSE/DWNI_X,Deutsche Wohnen (DWNI_X)
FSE/HOT_X,Hochtief (HOT_X)
FSE/EVK_X,Evonik Industries (EVK_X)
FSE/KGX_X,Kion Group (KGX_X)
FSE/FRA_X,Fraport (FRA_X)
FSE/TKA_X,Thyssenkrupp (TKA_X)
FSE/KCO_X,Klöckner & Co Se (KCO_X)
FSE/RRTL_X,Rtl Group S.a. (RRTL_X)
FSE/PFV_X,Pfeiffer Vacuum Technology (PFV_X)
FSE/NEM_X,Nemetschek (NEM_X)
FSE/NDA_X,Aurubis (NDA_X)
FSE/OSR_X,Osram Licht (OSR_X)
FSE/PUM_X,Puma Se (PUM_X)
FSE/SDF_X,K+s Aktiengesellschaft (SDF_X)
FSE/VOS_X,Vossloh (VOS_X)
FSE/SZG_X,Salzgitter (SZG_X)
FSE/WDI_X,Wirecard (WDI_X)
FSE/SW1_X,Shw (SW1_X)
FSE/QIA_X,Qiagen N.v. (QIA_X)
FSE/TUI1_X,Tui (TUI1_X)
FSE/SIX2_X,Sixt Se St (SIX2_X)
FSE/VT9_X,Vtg Aktiengesellschaft (VT9_X)
FSE/SKB_X,Koenig & Bauer (SKB_X)
FSE/HDD_X,Heidelberger Druckmaschinen (HDD_X)
FSE/FME_X,Fresenius Medical Care  & Co. Kgaa St (FME_X)
FSE/ANN_X,Deutsche Annington Immobilien Se (ANN_X)
FSE/AFX_X,Carl Zeiss Meditec (AFX_X)
FSE/AOX_X,Alstria Office Reit-ag (AOX_X)
FSE/2HR_X,H&R (2HR_X)
FSE/ADV_X,Adva Optical Networking Se (ADV_X)
FSE/AB1_X,Air Berlin Plc (AB1_X)
FSE/CBK_X,Commerzbank (CBK_X)
FSE/BAS_X,Basf Se (BAS_X)
FSE/DEZ_X,Deutz (DEZ_X)
FSE/HHFA_X,Hamburger Hafen Und Logistik (HHFA_X)
FSE/KBC_X,Kontron (KBC_X)
FSE/DPW_X,Deutsche Post (DPW_X)
FSE/G1A_X,Gea Group Aktiengesellschaft (G1A_X)
FSE/ZIL2_X,Elringklinger (ZIL2_X)
FSE/AIXA_X,Aixtron Se (AIXA_X)
FSE/BNR_X,Brenntag (BNR_X)
FSE/CON_X,Continental (CON_X)
FSE/MEO_X,Metro  St (MEO_X)
FSE/KU2_X,Kuka Aktiengesellschaft (KU2_X)
FSE/RWE_X,Rwe  St (RWE_X)
FSE/PMOX_X,Prime Office (PMOX_X)
FSE/MOR_X,Morphosys (MOR_X)
FSE/MRK_X,Merck Kgaa (MRK_X)
FSE/LIN_X,Linde (LIN_X)
FSE/NDX1_X,Nordex Se (NDX1_X)
FSE/O2C_X,C.a.t. Oil (O2C_X)
FSE/SRT3_X,Sartorius  Vz (SRT3_X)
FSE/RHK_X,RhÖn-klinikum (RHK_X)
FSE/BDT_X,Bertrandt (BDT_X)
FSE/CWC_X,Cewe Stiftung & Co. Kgaa (CWC_X)
FSE/AAD_X,Amadeus Fire (AAD_X)
FSE/DRW3_X,Drägerwerk  & Co. Kgaa Vz (DRW3_X)
FSE/BMW_X,Bmw St (BMW_X)
FSE/BIO3_X,Biotest  Vz (BIO3_X)
FSE/COM_X,Comdirect Bank (COM_X)
FSE/DBK_X,Deutsche Bank (DBK_X)
FSE/DAI_X,Daimler (DAI_X)
FSE/DB1_X,Deutsche Börse (DB1_X)
FSE/DUE_X,Dürr (DUE_X)
FSE/DLG_X,Dialog Semiconductor Plc (DLG_X)
FSE/EVT_X,Evotec (EVT_X)
FSE/EVD_X,Cts Eventim (EVD_X)
FSE/GMM_X,Grammer (GMM_X)
FSE/JEN_X,Jenoptik (JEN_X)
FSE/GIL_X,Dmg Mori Seiki (GIL_X)
FSE/GXI_X,Gerresheimer (GXI_X)
FSE/FPE3_X,Fuchs Petrolub  Vz (FPE3_X)
FSE/IFX_X,Infineon Technologies (IFX_X)
FSE/LXS_X,Lanxess (LXS_X)
FSE/LEO_X,Leoni (LEO_X)
FSE/MLP_X,Mlp (MLP_X)
FSE/LEG_X,Leg Immobilien (LEG_X)
FSE/MUV2_X,Münchener Rück (MUV2_X)
FSE/NOEJ_X,Norma Group Se (NOEJ_X)
FSE/WIN_X,Wincor Nixdorf Aktiengesellschaft (WIN_X)
FSE/RHM_X,Rheinmetall (RHM_X)
FSE/PSM_X,Prosiebensat.1 Media (PSM_X)
FSE/QSC_X,Qsc (QSC_X)
FSE/PSAN_X,Psi Aktiengesellschaft (PSAN_X)
FSE/RAA_X,Rational (RAA_X)
FSE/S92_X,Sma Solar Technology (S92_X)
FSE/SBS_X,Stratec Biomedical (SBS_X)
FSE/SGL_X,Sgl Carbon Se (SGL_X)
FSE/SFQ_X,Saf-holland S.a. (SFQ_X)
FSE/TTK_X,Takkt (TTK_X)
FSE/TEG_X,Tag Immobilien (TEG_X)
FSE/TTI_X,Tom Tailor Holding (TTI_X)
FSE/TLX_X,Talanx Aktiengesellschaft (TLX_X)
FSE/UTDI_X,United Internet (UTDI_X)
FSE/WCH_X,Wacker Chemie (WCH_X)
FSE/ZO1_X,Zooplus (ZO1_X)
FSE/SIE_X,Siemens (SIE_X)
FSE/DIC_X,Dic Asset (DIC_X)
FSE/CEV_X,Centrotec Sustainable (CEV_X)
FSE/ALV_X,Allianz Se (ALV_X)
FSE/BBZA_X,Bb Biotech (BBZA_X)
FSE/B5A_X,Bauer Aktiengesellschaft (B5A_X)
FSE/BEI_X,Beiersdorf Aktiengesellschaft (BEI_X)
FSE/COP_X,Compugroup Medical (COP_X)
FSE/FRE_X,Fresenius Se & Co. Kgaa (FRE_X)
FSE/GFK_X,Gfk Se (GFK_X)
FSE/GWI1_X,Gerry Weber International (GWI1_X)
FSE/HAW_X,Hawesko Holding (HAW_X)
FSE/HNR1_X,Hannover Rück Se (HNR1_X)
FSE/HEN3_X,Henkel  & Co. Kgaa Vz (HEN3_X)
FSE/HEI_X,Heidelbergcement (HEI_X)
FSE/INH_X,Indus Holding (INH_X)
FSE/MAN_X,Man Se St (MAN_X)
FSE/SOW_X,Software (SOW_X)
FSE/SAX_X,Ströer Media (SAX_X)
FSE/SLT_X,Schaltbau Holding (SLT_X)
FSE/SAP_X,Sap (SAP_X)
FSE/SY1_X,Symrise (SY1_X)
FSE/WAC_X,Wacker Neuson Se (WAC_X)
FSE/KWS_X,Kws Saat (KWS_X)
FSE/O2D_X,Telefónica Deutschland Holding AG (O2D_X)
FSE/VIB3_X,Villeroy & Boch  Vz (VIB3_X)
FSE/SPR_X,Axel Springer Se (SPR_X)
FSE/LHA_X,Deutsche Lufthansa (LHA_X)
FSE/GBF_X,Bilfinger Se (GBF_X)
FSE/VOW3_X,Volkswagen  Vz (VOW3_X)
FSE/TIM_X,Tipp24 Se (TIM_X)
FSE/GLJ_X,Grenkeleasing (GLJ_X)
FSE/KD8_X,Kabel Deutschland Holding (KD8_X)
